Type;Le nom complet du compte;Nom du compte;Code du compte;Description;Couleur du compte;Notes;Symbole;Espace de noms;Caché;Informations d'imposition;Virtuel
LIABILITY;1 COMPTES DE CAPITAUX;1 COMPTES DE CAPITAUX;1;;;;EUR;CURRENCY;F;F;T
EQUITY;1 COMPTES DE CAPITAUX:10 Capital et réserves;10 Capital et réserves;10;;;;EUR;CURRENCY;F;F;T
EQUITY;1 COMPTES DE CAPITAUX:10 Capital et réserves:101 Capital;101 Capital;101;;;;EUR;CURRENCY;F;F;T
EQUITY;1 COMPTES DE CAPITAUX:10 Capital et réserves:101 Capital:1011 Capital souscrit - non appelé;1011 Capital souscrit - non appelé;1011;;;;EUR;CURRENCY;F;F;F
EQUITY;1 COMPTES DE CAPITAUX:10 Capital et réserves:101 Capital:1012 Capital souscrit - appelé, non versé;1012 Capital souscrit - appelé, non versé;1012;;;;EUR;CURRENCY;F;F;F
EQUITY;1 COMPTES DE CAPITAUX:10 Capital et réserves:101 Capital:1013 Capital souscrit - appelé, versé;1013 Capital souscrit - appelé, versé;1013;;;;EUR;CURRENCY;F;F;T
EQUITY;1 COMPTES DE CAPITAUX:10 Capital et réserves:101 Capital:1013 Capital souscrit - appelé, versé:10131 Capital non amorti;10131 Capital non amorti;10131;;;;EUR;CURRENCY;F;F;F
EQUITY;1 COMPTES DE CAPITAUX:10 Capital et réserves:101 Capital:1013 Capital souscrit - appelé, versé:10132 Capital amorti;10132 Capital amorti;10132;;;;EUR;CURRENCY;F;F;F
EQUITY;1 COMPTES DE CAPITAUX:10 Capital et réserves:101 Capital:1018 Capital souscrit soumis à des réglementations particulières;1018 Capital souscrit soumis à des réglementations particulières;1018;;;;EUR;CURRENCY;F;F;F
EQUITY;1 COMPTES DE CAPITAUX:10 Capital et réserves:102 Fonds fiduciaires;102 Fonds fiduciaires;102;;;;EUR;CURRENCY;F;F;F
EQUITY;1 COMPTES DE CAPITAUX:10 Capital et réserves:104 Primes liées au capital;104 Primes liées au capital;104;;;;EUR;CURRENCY;F;F;T
EQUITY;1 COMPTES DE CAPITAUX:10 Capital et réserves:104 Primes liées au capital:1041 Primes d' émission;1041 Primes d' émission;1041;;;;EUR;CURRENCY;F;F;F
EQUITY;1 COMPTES DE CAPITAUX:10 Capital et réserves:104 Primes liées au capital:1042 Primes de fusion;1042 Primes de fusion;1042;;;;EUR;CURRENCY;F;F;F
EQUITY;1 COMPTES DE CAPITAUX:10 Capital et réserves:104 Primes liées au capital:1043 Primes d'apport;1043 Primes d'apport;1043;;;;EUR;CURRENCY;F;F;F
EQUITY;1 COMPTES DE CAPITAUX:10 Capital et réserves:104 Primes liées au capital:1044 Primes de conversion d'obligations en actions;1044 Primes de conversion d'obligations en actions;1044;;;;EUR;CURRENCY;F;F;F
EQUITY;1 COMPTES DE CAPITAUX:10 Capital et réserves:104 Primes liées au capital:1045 Bons de souscription d'actions;1045 Bons de souscription d'actions;1045;;;;EUR;CURRENCY;F;F;F
EQUITY;1 COMPTES DE CAPITAUX:10 Capital et réserves:105 Écarts de réévaluation;105 Écarts de réévaluation;105;;;;EUR;CURRENCY;F;F;F
